camera_specs,display_specs
100 mp + 20 mp + 2 mp triple rear & 32 mp front camera,"6.72 inch, IPS Screen
Average"
50 mp + 50 mp dual rear & 50 mp front camera,"6.82 inch, AMOLED Screen
Large"
64 mp quad rear & 32 mp front camera,"6.4 inch, Super AMOLED Screen
Small"
5 mp dual rear & 5 mp front camera,"6.6 inch, IPS LCD Screen
Average"
50 mp + 8 mp + 2 mp triple rear & 20 mp front camera,"6.67 inch, AMOLED Screen
Average"
13 mp + 5 mp + 2 mp triple rear & 8 mp front camera,"6.82 inch, IPS LCD Screen
Large"
48 mp + 2 mp + 2 mp triple rear & 8 mp front camera,"6.5 inch, IPS LCD Screen
Small"
50 mp + 48 mp + 32 mp triple rear & 32 mp + 32 mp dual front camera,"7.2 inch, LTPO AMOLED Screen
Large"
32 mp rear & 8 mp front camera,"6.67 inch, IPS Screen
Average"
13 mp + 2 mp dual rear & 8 mp front camera,"6.2 inch, IPS LCD Screen
Small"
50 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.55 inch, IPS LCD Screen
Small"
64 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.6 inch, IPS LCD Screen
Small"
20 mp + 2 mp dual rear & 16 mp front camera,"6.5 inch, IPS LCD Screen
Small"
50 mp + 5 mp + 2 mp triple rear & 8 mp front camera,"6.6 inch, IPS Screen
Average"
48 mp + 5 mp dual rear & 16 mp front camera,"6.53 inch, AMOLED Screen
Small"
64 mp + 64 mp + 64 mp triple rear & 16 mp front camera,"6.8 inch, AMOLED Screen
Average"
50.3 mp + 50.3 mp + 50.3 mp triple rear & 50.3 mp front camera,"6.7 inch, OLED Screen
Small"
50 mp + 2 mp dual rear & 8 mp front camera,"6.64 inch, LCD Screen
Average"
64 mp + 2 mp dual rear & 16 mp front camera,"6.43 inch, AMOLED Screen
Small"
108 mp quad rear & 40 mp front camera,"6.9 inch, Dynamic AMOLED 2X Screen
Large"
50 mp + 8 mp dual rear & 16 mp front camera,"6.7 inch, AMOLED Screen
Average"
108 mp quad rear & 16 mp front camera,"6.67 inch, Super AMOLED Screen
Average"
50 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.8 inch, AMOLED Screen
Average"
64 mp + 2 mp dual rear & 16 mp front camera,"6.67 inch, IPS LCD Screen
Average"
64 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.62 inch, AMOLED Screen
Small"
50 mp + 8 mp + 2 mp triple rear & 32 mp front camera,"6.67 inch, AMOLED Screen
Small"
50 mp quad rear & 50 mp front camera,"6.8 inch, AMOLED Screen
Large"
64 mp + 8 mp + 2 mp triple rear & 32 mp front camera,"6.43 inch, Super AMOLED Screen
Small"
13 mp + 2 mp dual rear & 5 mp front camera,"6.53 inch, IPS LCD Screen
Average"
13 mp rear & 5 mp front camera,"6.56 inch, LCD Screen
Small"
50 mp + 8 mp dual rear & 32 mp front camera,"6.78 inch, AMOLED Screen
Large"
50 mp + 12 mp + 10 mp triple rear & 10 mp + 4 mp dual front camera,"7.6 inch, AMOLED Screen
Large"
50 mp + 2 mp dual rear & 16 mp front camera,"6.67 inch, IPS Screen
Average"
50 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.78 inch, AMOLED Screen
Large"
13 mp + 2 mp + 2 mp triple rear & 5 mp front camera,"6.52 inch, IPS LCD Screen
Small"
50 mp + 2 mp dual rear & 32 mp front camera,"6.77 inch, AMOLED Screen
Large"
48 mp + 2 mp dual rear & 8 mp front camera,"6.58 inch, IPS LCD Screen
Small"
50 mp + 2 mp + 2 mp triple rear & 16 mp front camera,"6.7 inch, OLED Screen
Average"
12 mp + 12 mp dual rear & 12 mp front camera,"6.7 inch, OLED Screen
Small"
64 mp + 2 mp + 2 mp triple rear & 16 mp front camera,"6.43 inch, AMOLED Screen
Small"
50 mp + 13 mp + 8 mp triple rear & 50 mp front camera,"6.55 inch, OLED Screen
Small"
48 mp + 16 mp + 2 mp triple rear & 25 mp front camera,"6.4 inch, IPS LCD Screen
Small"
50 mp + 50 mp dual rear & 50 mp front camera,"7.1 inch, LTPO AMOLED Screen
Large"
13 mp + 5 mp + 2 mp triple rear & 8 mp front camera,"6.8 inch, IPS Screen
Large"
50 mp + 8 mp dual rear & 50 mp front camera,"6.78 inch, AMOLED Screen
Large"
108 mp quad rear & 16 mp front camera,"6.43 inch, AMOLED Screen
Small"
50 mp + 2 mp dual rear & 16 mp front camera,"6.58 inch, IPS LCD Screen
Small"
50 mp + 5 mp + 2 mp triple rear & 13 mp front camera,"6.6 inch, PLS LCD Screen
Average"
50 mp + 48 mp + 48 mp triple rear & 42 mp front camera,"6.8 inch, OLED Screen
Average"
8 mp dual rear & 5 mp front camera,"6.71 inch, IPS Screen
Large"
50 mp + 2 mp dual rear & 16 mp front camera,"6.9 inch, OLED Screen
Large"
13 mp + 5 mp + 2 mp triple rear & 5 mp front camera,"6.22 inch, IPS LCD Screen
Small"
200 mp + 50 mp + 50 mp triple rear & 50 mp front camera,"6.8 inch, OLED Screen
Large"
16 mp rear & 20 mp front camera,"6 inch, IPS Screen
Small"
50 mp + 2 mp + 2 mp triple rear & 13 mp front camera,"6.6 inch, PLS LCD Screen
Average"
12 mp quad rear & 13 mp front camera,"6.5 inch, IPS LCD Screen
Small"
13 mp + 8 mp + 2 mp triple rear & 8 mp front camera,"6.35 inch, IPS LCD Screen
Small"
64 mp + 12 mp + 8 mp triple rear & 32 mp front camera,"6.7 inch, AMOLED Screen
Average"
50 mp + 48 mp + 32 mp triple rear & 16 mp front camera,"6.7 inch, AMOLED Screen
Average"
200 mp + 20 mp + 8 mp triple rear & 32 mp front camera,"6.58 inch, IPS LCD Screen
Small"
50 mp + 24 mp dual rear & 8 mp front camera,"6.52 inch, IPS Screen
Small"
50 mp + 2 mp dual rear & 16 mp front camera,"6.67 inch, AMOLED Screen
Average"
50 mp + 13 mp dual rear & 32 mp front camera,"6.55 inch, pOLED Screen
Small"
48 mp + 12 mp dual rear & 10 mp front camera,"6.7 inch, Dynamic AMOLED 2x Screen
Small"
50 mp + 8 mp dual rear & 16 mp front camera,"6.77 inch, AMOLED Screen
Large"
108 mp + 2 mp dual rear & 50 mp front camera,"6.56 inch, IPS Screen
Small"
13 mp triple rear & 5 mp front camera,"6.5 inch, IPS Screen
Small"
200 mp + 13 mp + 2 mp triple rear & 32 mp front camera,"6.82 inch, AMOLED Screen
Large"
64 mp quad rear & 16 mp + 8 mp dual front camera,"6.7 inch, IPS LCD Screen
Average"
8 mp rear & 5 mp front camera,"5 inch, IPS Screen
Small"
20 mp + 12 mp dual rear & 25 mp front camera,"6.4 inch Screen
Small"
48 mp + 8 mp + 2 mp triple rear & 32 mp front camera,"6.38 inch, Super AMOLED Screen
Small"
64 mp + 8 mp + 2 mp triple rear & 8 mp front camera,"6.8 inch, AMOLED Screen
Large"
200 mp + 50 mp + 12 mp triple rear & 60 mp front camera,"6.67 inch, OLED Screen
Small"
108 mp + 2 mp dual rear & 16 mp front camera,"6.82 inch, IPS Screen
Large"
50 mp quad rear & 13 mp front camera,"6.81 inch, IPS LCD Screen
Large"
23 mp rear & 5.09 mp front camera,"5.5 inch, IPS Screen
Small"
13 mp rear camera,"5 inch, IPS Screen
Small"
50 mp + 5 mp + 2 mp triple rear & 50 mp front camera,"6.64 inch, IPS Screen
Small"
64 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.78 inch, IPS LCD Screen
Large"
5 mp + 0.3 mp dual rear & 5 mp front camera,"6.1 inch, IPS LCD Screen
Small"
108 mp + 32 mp + 12 mp triple rear & 32 mp front camera,"6.8 inch, AMOLED Screen
Large"
32 mp + 8 mp + 5 mp triple rear & 32 mp front camera,"6.7 inch, Super AMOLED Screen
Large"
16 mp rear & 5 mp front camera,"6.56 inch, IPS LCD Screen
Average"
8 mp rear & 5 mp front camera,"6.5 inch, IPS LCD Screen
Small"
16 mp rear & 8 mp front camera,"5.5 inch, AMOLED Screen
Small"
64 mp + 8 mp + 2 mp triple rear & 50 mp front camera,"6.67 inch, AMOLED Screen
Average"
13 mp rear & 8 mp front camera,"5.2 inch, IPS Screen
Small"
32 mp + 2 mp dual rear & 8 mp front camera,"6.67 inch, LCD Screen
Average"
64 mp quad rear & 32 mp front camera,"6.7 inch, Super AMOLED Plus Screen
Average"
13 mp rear & 5 mp front camera,"5 inch, IPS Screen
Small"
50 mp + 2 mp + 2 mp triple rear & 8 mp front camera,"6.58 inch, IPS LCD Screen
Average"
50 mp + 13 mp + 5 mp triple rear & 32 mp front camera,"6.55 inch, AMOLED Screen
Small"
50 mp quad rear & 48 mp + 8 mp dual front camera,"6.7 inch, Super AMOLED Screen
Average"
50 mp + 12 mp + 10 mp triple rear & 12 mp front camera,"6.1 inch, AMOLED Screen
Small"
180 mp + 50 mp + 50 mp triple rear & 50 mp front camera,"6.8 inch, OLED Screen
Average"
50 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.78 inch, LTPO AMOLED Screen
Large"
200 mp quad rear & 12 mp front camera,"6.9 inch, LTPO AMOLED Screen
Large"
64 mp + 16 mp dual rear & 20 mp front camera,"6.5 inch, AMOLED Screen
Small"
48 mp + 12 mp + 12 mp triple rear & 12 mp front camera,"6.1 inch, Super Retina XDR OLED Screen
Small"
48 mp + 20 mp dual rear & 16 mp front camera,"6 inch, IPS LCD Screen
Small"
12 mp quad rear & 8 mp front camera,"6.52 inch, LCD Screen
Small"
48 mp + 2 mp + 2 mp triple rear & 16 mp front camera,"6.6 inch, IPS LCD Screen
Average"
